iter	Passed	Remaining
0	2	463
1	4	419
2	6	402
3	8	395
4	9	384
5	11	376
6	13	366
7	14	354
8	16	346
9	18	344
10	20	343
11	21	340
12	23	335
13	24	330
14	26	327
15	28	324
16	29	322
17	31	318
18	33	315
19	34	314
20	36	313
21	38	310
22	39	307
23	41	304
24	43	304
25	45	302
26	46	299
27	48	297
28	50	296
29	52	294
30	53	292
31	55	290
32	56	288
33	58	287
34	60	285
35	62	284
36	64	282
37	65	280
38	67	279
39	69	277
40	71	275
41	72	273
42	74	271
43	76	270
44	77	268
45	79	266
46	81	264
47	82	262
48	84	260
49	86	258
50	88	257
51	89	255
52	91	253
53	93	252
54	95	250
55	96	248
56	98	246
57	99	244
58	101	242
59	102	240
60	104	238
61	106	236
62	108	235
63	109	233
64	111	231
65	113	229
66	114	228
67	116	226
68	118	224
69	120	223
70	122	221
71	123	219
72	124	217
73	126	214
74	127	212
75	129	210
76	130	208
77	132	206
78	133	204
79	135	203
80	137	201
81	138	199
82	140	197
83	141	195
84	143	193
85	144	191
86	145	189
87	147	187
88	149	185
89	150	184
90	152	182
91	153	180
92	154	177
93	155	175
94	156	173
95	158	171
96	159	169
97	160	167
98	161	165
99	163	163
100	164	160
101	165	158
102	167	157
103	168	155
104	170	153
105	171	152
106	172	150
107	173	148
108	175	146
109	176	144
110	177	142
111	179	140
112	180	139
113	181	137
114	183	135
115	184	133
116	185	131
117	187	129
118	188	128
119	189	126
120	190	124
121	192	122
122	193	121
123	194	119
124	195	117
125	197	115
126	198	114
127	200	112
128	201	110
129	202	109
130	203	107
131	205	105
132	206	104
133	207	102
134	209	100
135	210	99
136	211	97
137	213	95
138	214	94
139	215	92
140	217	90
141	218	89
142	219	87
143	221	86
144	222	84
145	223	82
146	225	81
147	226	79
148	228	78
149	229	76
150	231	75
151	232	73
152	233	71
153	234	70
154	236	68
155	237	66
156	238	65
157	239	63
158	241	62
159	242	60
160	243	59
161	245	57
162	246	55
163	247	54
164	249	52
165	250	51
166	251	49
167	253	48
168	254	46
169	255	45
170	257	43
171	258	42
172	259	40
173	261	39
174	262	37
175	263	35
176	265	34
177	266	32
178	268	31
179	270	30
180	271	28
181	272	26
182	273	25
183	275	23
184	276	22
185	277	20
186	279	19
187	280	17
188	281	16
189	283	14
190	284	13
191	285	11
192	287	10
193	288	8
194	289	7
195	291	5
196	292	4
197	293	2
198	295	1
199	296	0
